08/31/2007,180458,180167,180334,180353,180460,180721,180530,180730,180085,121864,140478,180532,183659,180555,180454,187653,167202,188928,180371,181010,188563,180824,188923,180825,188931,180180,185419,188580,181698,170442,180275,181028,186444,SP50,DJIAK,160355,168110,180264,180731,188440,161597,168636
Date,Hang Seng Index,SSE Composite Index,ASX All Ordinaries,India S&P BSE SENSEX,TOPIX,KOSPI Composite Index,Taiwan TAIEX,FTSE Bursa Malaysia KLCI,FTSE Straits Times Index,Philippines PSE PSEi,NEW ZEALAND NZX 50(CAP),Thailand SET,Euro STOXX,FTSE 100,France CAC 40,Germany DAX (TR),FTSE MIB,Belgium BEL-20,Ireland ISEQ Overall,Netherlands AEX,Norway OSE OBX TR,Spain IBEX 35,OMX Stockholm 30,Switzerland SMI (PR),Austria ATX,OMX Copenhagen 20,OMX Helsinki 25,Portugal PSI 20,Russia RTS,Czech Republic PX - 50,Hungary BUX,Poland WIG,Turkey BIST 100,S&P 500,DJ Industrial Average,Colombia IGBC,Canada S&P/TSX Composite,Brazil Bovespa Index,Mexico IPC,Israel TA-125,Saudi Arabia All Share (TASI),FTSE JSE All Share
8/31/07,23984.14,5218.825,6248.3,15318.6,1608.25,1873.24,8982.16,1273.93,3328.43,3365.29,4118.97,813.21,414.3,6303.3,5662.7,7638.17,40187.38,4350.83,8400.93,522.73,399.1691,14479.8,1213.24,8881.46,4579.61,496.3,3174.8,12711.41,1919.89,1789.3,27404.17,60649.86,50198.6,1473.99,13357.74,10728.74,13660.48,54637.24,30347.86,1034.67,8226.97,28660.35
9/03/07,23904.09,5321.055,6272.5,15422.05,1605.44,1881.81,8979.96,1284.14,3321.36,3369.14,4125.76,820.19,415.1,6315.2,5651.27,7648.58,40280.76,4358.55,8439.35,525.36,400.99973,14546.9,1222.31,8877.8,4583.87,498.01,3180.65,12799.06,1926.5,1798.6,27074.9,61010.54,49936.94,1473.99,13357.74,10750.79,13660.48,54832.51,30797.6,1047.33,8017.54,28887.48
9/04/07,23886.07,5294.045,6297.1,15465.4,1596.74,1874.74,8922.98,1283.75,3308.81,3312.3,4150.53,810.86,417.54,6376.8,5672.72,7721.77,40324.04,4376.22,8515.02,531,405.8888,14590.1,1226.08,8966.35,4674.36,501.21,3206.1,12831.13,1904.76,1812.1,27445.98,61406.64,50032.59,1489.42,13448.86,10880.85,13755.23,55250.47,30932.71,1054.69,7878.7,29051.96
9/05/07,24069.17,5310.716,6274.3,15446.15,1569.47,1865.59,8913.85,1297.93,3375.02,3342.35,4155,814.5,409.3,6270.7,5551.55,7588.03,39347.03,4321.16,8319.16,523.02,406.2694,14240.1,1197.64,8843.07,4580.49,494.93,3164.04,12764.1,1905.3,1806.3,27316.6,60397.88,49421.38,1472.29,13305.47,10819.91,13683.28,54407.83,30809.55,1048.7,7853.66,28696.67
9/06/07,24050.4,5393.66,6265.3,15616.31,1568.52,1888.81,9017.08,1298.85,3399.49,3326.53,4140.09,809.82,410.76,6313.3,5576.62,7621.72,39435.39,4330.45,8307.28,527.21,408.77933,14198.4,1190.67,8830.1,4567.91,494.47,3186.09,12728.15,1920.88,1776.2,27158.89,59920.85,49601.39,1478.55,13363.35,10844.4,13795.69,54569,30816.95,1033.23,7853.66,28850.19
9/07/07,23982.61,5277.176,6296.5,15590.42,1557.02,1884.9,9018.08,1304.9,3424.67,3332.97,4151.98,801.46,401.32,6191.2,5430.1,7436.63,38493.76,4227.47,8188.27,517.43,402.42804,13873.4,1159.95,8676.13,4487.09,483.13,3121.85,12401.61,1898.19,1762.4,26593.72,59197.36,49050.42,1453.55,13113.38,10731.63,13651.21,54569,30252.77,1033.23,7853.66,28311.77
9/10/07,23999.7,5355.287,6209.6,15596.83,1525.22,1835.87,8937.58,1290.7,3376.34,3281.08,4142.89,796.85,397.98,6134.1,5386.43,7375.44,38407.32,4190.77,8049.59,512.9,397.9317,13726.3,1147.2,8612.48,4427.15,474.58,3080.75,12197.4,1898.26,1757.5,26351.06,58174.13,48548.93,1451.7,13127.85,10628.68,13625.49,52652.57,29893.18,1020.11,7966.15,28246.93
9/11/07,23952.24,5113.968,6248.6,15542.77,1532.39,1847.36,9003.12,1286.33,3428.49,3267.97,4160.16,801.54,403.9,6280.7,5478.94,7457.9,38853.73,4250.7,8160.84,521.53,403.912,13965.5,1172.42,8717.16,4499.52,486.7,3131.5,12306.61,1911.97,1765,26845.94,58692.07,49296.18,1471.49,13308.39,10618.77,13704.28,53920.57,30191.14,1025.79,7799.54,28858.14
9/12/07,24310.14,5172.627,6236,15505.36,1528.27,1813.52,9018.12,1285.94,3440.83,3307.6,4143.02,802,404.76,6306.2,5508.01,7472.99,39003.93,4255.67,8107.49,523.38,403.90698,13980.4,1180.6,8783.96,4472.77,486.2,3127.76,12284.87,1899.95,1755.7,26960.35,59619.65,49233.05,1471.56,13291.65,10647.66,13756.72,53882.71,30076.33,1025.79,7807.87,28730.17
